"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Clarion Inn New London - Mystic","<https://www.hotels.com/ho273284/clarion-inn-new-london-mystic-new-london-united-states-of-america/>","<https://www.hotels.com/de1801362/hotels-near-eastern-point-beach-groton-united-states-of-america/>","hotels.com","hotels.com_168","","","","","inn","mystic clarion london new"
"Judd Hotel","<https://au.hotels.com/ho381963/judd-hotel-london-united-kingdom/>","<https://au.hotels.com/de552739/accommodation-near-piccadilly-circus-london-united-kingdom/>","hotels.com","hotels.com_169","","","","","hotel","judd"
"Best Western Plus Lamplighter Inn & Conference Centre","<https://www.hotels.com/ho177403/best-western-plus-lamplighter-inn-conference-centre-london-canada/>","<https://www.hotels.com/de167441-am2/gym-hotels-london-canada/>","hotels.com","hotels.com_17","","","","","best inn centre western","plus lamplighter conference"
"Novotel London Wembley","<https://au.hotels.com/ho450528/novotel-london-wembley-wembley-united-kingdom/>","<https://au.hotels.com/de552739/accommodation-near-piccadilly-circus-london-united-kingdom/>","hotels.com","hotels.com_170","","","","","","wembley novotel london"
"Manor Hotel","<https://nz.hotels.com/ho188878/manor-hotel-slough-united-kingdom/>","<https://nz.hotels.com/de1767194/book-near-royal-holloway-university-of-london-egham-united-kingdom-hotel-rooms/>","hotels.com","hotels.com_171","","","","","hotel","manor"
"De Vere Beaumont Estate","<https://nz.hotels.com/ho260252/de-vere-beaumont-estate-windsor-united-kingdom/>","<https://nz.hotels.com/de1767194/book-near-royal-holloway-university-of-london-egham-united-kingdom-hotel-rooms/>","hotels.com","hotels.com_172","","","","","de","vere beaumont estate"
"The Swan Hotel","<https://nz.hotels.com/ho445586/the-swan-hotel-staines-united-kingdom/>","<https://nz.hotels.com/de1767194/book-near-royal-holloway-university-of-london-egham-united-kingdom-hotel-rooms/>","hotels.com","hotels.com_173","","","","","hotel","swan"
"The Union Inn","<https://nz.hotels.com/ho429592/the-union-inn-windsor-united-kingdom/>","<https://nz.hotels.com/de1767194/book-near-royal-holloway-university-of-london-egham-united-kingdom-hotel-rooms/>","hotels.com","hotels.com_174","","","","","inn","union"
"Millennium Hotel London Mayfair","<https://www.hotels.com/ho106275/millennium-hotel-london-mayfair-london-united-kingdom/>","<https://www.hotels.com/de1653372/hotels-near-lambeth-bridge-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_175","","","","","hotel","millennium mayfair london"
"Ramada London North M1","<https://www.hotels.com/ho205709/ramada-london-north-m1-north-london-united-kingdom/>","<https://www.hotels.com/de544238/hotels-barnet-united-kingdom/>","hotels.com","hotels.com_176","","","","","north","london ramada"
"Bishop's Gate Hotel","<https://www.hotels.com/ho567838/bishop-s-gate-hotel-londonderry-united-kingdom/>","<https://www.hotels.com/de1709037-am2/gym-hotels-londonderry-county-united-kingdom/>","hotels.com","hotels.com_177","","","","","hotel","gate bishop"
"Budget Host Westgate Inn","<https://www.hotels.com/ho235485/budget-host-westgate-inn-london-united-states-of-america/>","<https://www.hotels.com/de1436155/hotels-corbin-kentucky/>","hotels.com","hotels.com_178","","","","","inn","host westgate budget"
"ibis London Excel Docklands","<https://www.hotels.com/ho215235/ibis-london-excel-docklands-london-united-kingdom/>","<https://www.hotels.com/nh1650657/hotels-in-thurrock-essex-county-united-kingdom/>","hotels.com","hotels.com_179","","","","","","ibis excel london docklands"
"Prince William Hotel","<https://in.hotels.com/ho126621/prince-william-hotel-london-united-kingdom/>","<https://in.hotels.com/de549499/hotels-in-london-united-kingdom/>","hotels.com","hotels.com_18","","","","","hotel","william prince"
"ibis London Stratford","<https://www.hotels.com/ho175060/ibis-london-stratford-london-united-kingdom/>","<https://www.hotels.com/nh1650657/hotels-in-thurrock-essex-county-united-kingdom/>","hotels.com","hotels.com_180","","","","","","ibis stratford london"
