"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Executive Express Hotel, Leduc - Nisku","<http://www.touristlink.com/canada/alberta-leduc/cat/hotels.html>","<http://www.touristlink.com/canada/strathcona/cat/hotels.html>","www.touristlink.com","touristlink.com_887","T9E8B7","8116 Sparrow Crescent Hwy","Canada","Leduc","hotel express","nisku leduc executive"
"Mainstay Suites East Edmonton","<http://www.touristlink.com/canada/sherwood-park/cat/hotels.html>","<http://www.touristlink.com/canada/strathcona/cat/hotels.html>","www.touristlink.com","touristlink.com_888","T8H 0N3","201 PALISADES WAY","Canada","SHERWOOD PARK","east suites","mainstay edmonton"
"Suite Novotel Calais Coquelles","<http://www.touristlink.com/france/suite-novotel-calais-coquelles/overview.html>","<http://www.touristlink.com/france/suite-novotel-calais-coquelles/overview.html>","www.touristlink.com","touristlink.com_889","62231","Place De Cantorbery","France","Coquelles","","coquelles novotel suite calais"
"Holiday Express and Suites Ottawa S","<http://www.touristlink.com/canada/ottawa-ontario/cat/hotels.html>","<http://www.touristlink.com/canada/mechanicsville/cat/hotels.html>","www.touristlink.com","touristlink.com_89","K1V 1C3","2881 Gibford Drive","Canada","Ottawa","express suites holiday","ottawa"
"Hotel Sybharis","<http://www.touristlink.com/mexico/hotel-sybharis/overview.html>","<http://www.touristlink.com/mexico/hotel-sybharis/overview.html>","www.touristlink.com","touristlink.com_890","06470","James Sullivan 163 bis","Mexico","Mexico City","hotel","sybharis"
"Zafra","<http://www.touristlink.com/spain/zafra/cat/hotels.html>","<http://www.touristlink.com/spain/aceuchal/cat/hotels.html>","www.touristlink.com","touristlink.com_891","06300","Carretera Gijon-sevilla Km 684","Spain","Zafra","","zafra"
"Courtyard Pvd-lincoln","<http://www.touristlink.com/united-states/montana-lincoln/cat/hotels.html>","<http://www.touristlink.com/united-states/gillette-stadium/cat/hotels.html>","www.touristlink.com","touristlink.com_892","02865","636 George Washington Highway","United States","Lincoln","","pvd courtyard lincoln"
"Extendedstay Boston Braintree","<http://www.touristlink.com/united-states/braintree/cat/hotels.html>","<http://www.touristlink.com/united-states/gillette-stadium/cat/hotels.html>","www.touristlink.com","touristlink.com_893","02184","20 Rockdale Street","United States","Braintree","","extendedstay braintree boston"
"Crowne Plaza Natick","<http://www.touristlink.com/united-states/natick/cat/hotels.html>","<http://www.touristlink.com/united-states/gillette-stadium/cat/hotels.html>","www.touristlink.com","touristlink.com_894","01760","1360 Worchester Road","United States","Natick","crowne plaza","natick"
"The Monticello Inn","<http://www.touristlink.com/united-states/massachusetts-framingham/cat/hotels.html>","<http://www.touristlink.com/united-states/gillette-stadium/cat/hotels.html>","www.touristlink.com","touristlink.com_895","01702","90 Worcester Rd","United States","Framingham","inn","monticello"
"Marriott Boston Quincy","<http://www.touristlink.com/united-states/quincy/cat/hotels.html>","<http://www.touristlink.com/united-states/gillette-stadium/cat/hotels.html>","www.touristlink.com","touristlink.com_896","02169","1000 Marriott Drive","United States","Quincy","","marriott quincy boston"
"Kiplings Court","<http://www.touristlink.com/india/seoni/cat/hotels.html>","<http://www.touristlink.com/india/pench-national-park/cat/hotels.html>","www.touristlink.com","touristlink.com_897","480661","MPSTDC Pench National Park","India","Seoni","","kiplings court"
"Royal Jungle Retreat","<http://www.touristlink.com/india/pench-national-park/cat/hotels.html>","<http://www.touristlink.com/india/pench-national-park/cat/hotels.html>","www.touristlink.com","touristlink.com_898","480661","Post Avarghani (Turiya Gate) 9 kms From Khawasa, Nagpur-Jabalpur Highway","India","Pench","","jungle retreat royal"
"Aquarium","<http://www.touristlink.com/spain/aquarium/overview.html>","<http://www.touristlink.com/spain/aquarium/overview.html>","www.touristlink.com","touristlink.com_899","17310","Pere Codina I Mont 17","Spain","Lloret De Mar","","aquarium"
"Holiday Inn Madrid","<http://www.touristlink.com/spain/madrid/cat/hotels.html>","<http://www.touristlink.com/spain/academy-fine-arts/cat/hotels.html>","www.touristlink.com","touristlink.com_9","28020","Plaza Carlos Trias Bertran 4","Spain","Madrid","inn holiday","madrid"
"Holiday Inn Garden Court Rastatt","<http://www.touristlink.com/germany/karlsruhe/cat/hotels.html>","<http://www.touristlink.com/germany/university-of-karlsruhe-th/cat/hotels.html?page=20&limit=10>","www.touristlink.com","touristlink.com_90","76437","Karlsruher Strasse 29","Germany","Rastatt","inn garden holiday","rastatt court"
"Pan Pacific Sonargaon Dhaka","<http://www.touristlink.com/bangladesh/dhaka/cat/hotels.html>","<http://www.touristlink.com/bangladesh/cat/tourist_essentials.html>","www.touristlink.com","touristlink.com_900","1215","107 Kazi Nazrul Islam Avenue G","Bangladesh","Dhaka","","pacific dhaka pan sonargaon"
"Hotel Marina","<http://www.touristlink.com/hungary/balatonfured/cat/hotels.html>","<http://www.touristlink.com/hungary/marzipan-house/cat/hotels.html>","www.touristlink.com","touristlink.com_901","8230","Szechenyi street 26","Hungary","Balatonfured","hotel","marina"
"Familia Zamardi Hotel","<http://www.touristlink.com/hungary/zamardi/cat/hotels.html>","<http://www.touristlink.com/hungary/marzipan-house/cat/hotels.html>","www.touristlink.com","touristlink.com_902","8621","Endredi Ut 1a","Hungary","Zamardi","hotel","familia zamardi"
"Hotel Silver Resort","<http://www.touristlink.com/hungary/szekesfehervar/cat/hotels.html>","<http://www.touristlink.com/hungary/marzipan-house/cat/hotels.html>","www.touristlink.com","touristlink.com_903","8230 Balatonf\u00FCr","Balatonfured, Zakonyi F. st. 4.","Hungary","Balaton","hotel resort","silver"
"Kiss Family Hotel","<http://www.touristlink.com/hungary/balatonfoldvar/cat/hotels.html>","<http://www.touristlink.com/hungary/marzipan-house/cat/hotels.html>","www.touristlink.com","touristlink.com_904","8623","Bathory u. 40","Hungary","Balatonfoldvar","hotel","kiss family"
"Mercure Welcome Melbourne","<http://www.touristlink.com/australia/mercure-welcome-melbourne/overview.html>","<http://www.touristlink.com/australia/mercure-welcome-melbourne/overview.html>","www.touristlink.com","touristlink.com_905","3000","265 281 Little Bourke Street","Australia","Melbourne","","welcome melbourne mercure"
"Garni Hotel Romantick","<http://www.touristlink.com/czech-republic/garni-hotel-romantick/overview.html>","<http://www.touristlink.com/czech-republic/garni-hotel-romantick/overview.html>","www.touristlink.com","touristlink.com_906","38001","U Zelene Ratolesti 232","Czech Republic","Cesky Krumlov","hotel","romantick garni"
"Hotel Hill Top","<http://www.touristlink.com/india/panhala/cat/hotels.html>","<http://www.touristlink.com/india/kolhapur/cat/tourist_essentials.html>","www.touristlink.com","touristlink.com_907","416201","Panhala, Kolhapur","India","Panhala","hotel","hill top"
"Hotel Panchshil","<http://www.touristlink.com/india/kolhapur/cat/hotels.html>","<http://www.touristlink.com/india/kolhapur/cat/tourist_essentials.html>","www.touristlink.com","touristlink.com_908","416001","517, A/2, Shivaji Park","India","Kolhapur","hotel","panchshil"
"Hotel La Revival","<http://www.touristlink.com/india/khandala/cat/hotels.html>","<http://www.touristlink.com/india/wankhede-stadium/cat/hotels.html>","www.touristlink.com","touristlink.com_909","410401","Mumbai Pune Highway,","India","Khandala","hotel la","revival"
"Holiday Inn West Chester","<http://www.touristlink.com/united-states/pennsylvania-philadelphia/cat/hotels.html>","<http://www.touristlink.com/united-states/west-chester/cat/hotels.html>","www.touristlink.com","touristlink.com_91","19382","943 South High Street","United States","West Chester","inn west holiday","chester"
"The Chardham Camp, Harsil","<http://www.touristlink.com/india/gangotri/cat/hotels.html>","<http://www.touristlink.com/india/gangotri/cat/tourist_essentials.html>","www.touristlink.com","touristlink.com_910","05018@it-IT","Gangotri","India","Kalpa","","camp chardham harsil"
"Hotel Aroma Executive","<http://www.touristlink.com/india/hotel-aroma-executive/overview.html>","<http://www.touristlink.com/india/hotel-aroma-executive/overview.html>","www.touristlink.com","touristlink.com_911","403001","Rua Cunha Rivara, Opposite Municipal Garden","India","Panaji","hotel","aroma executive"
"Ibis Sint Niklaas Centrum","<http://www.touristlink.com/belgium/brussels/cat/hotels.html>","<http://www.touristlink.com/belgium/great-synagogue-of-europe/cat/hotels.html>","www.touristlink.com","touristlink.com_912","9100","Hemelaertstraat 2","Belgium","Sint Niklaas","","niklaas ibis sint centrum"
"Crowne Plaza Antwerp","<http://www.touristlink.com/belgium/antwerp/cat/hotels.html>","<http://www.touristlink.com/belgium/great-synagogue-of-europe/cat/hotels.html>","www.touristlink.com","touristlink.com_913","2020","Gerard Legrellelaan 10","Belgium","Antwerp","crowne plaza","antwerp"
