"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Nollendorf Apartments","<https://www.booking.com/hotel/de/nollendorf-apartments-berlin.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/berlin/gayguide/cafe-berio.html>","www.nighttours.com","www.nighttours.com_1711","","Nollendorfstra\u00DFe 32","de","","apartments","nollendorf"
"Design Apartment","<https://www.booking.com/hotel/de/design-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/berlin/gayguide/cafe-berio.html>","www.nighttours.com","www.nighttours.com_1712","","25A Zietenstrasse","de","","apartment","design"
"Apartment in Nehama 2","<https://www.booking.com/hotel/il/nkhmh-2.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/telaviv/gayguide/levontin-7.html>","www.nighttours.com","www.nighttours.com_1713","","2 Nehama Street 3","il","","apartment","nehama"
"Boardwalk Sea Apartment","<https://www.booking.com/hotel/il/boardwalk-sea-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/telaviv/gayguide/levontin-7.html>","www.nighttours.com","www.nighttours.com_1714","","David Raziel 9 ","il","","apartment","sea boardwalk"
"The Ron's Apartment","<https://www.booking.com/hotel/il/the-ron-39-s-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/telaviv/gayguide/levontin-7.html>","www.nighttours.com","www.nighttours.com_1715","","Poriya 4","il","","apartment","ron"
"Suite Bat Ami 3","<https://www.booking.com/hotel/il/svyth.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/telaviv/gayguide/levontin-7.html>","www.nighttours.com","www.nighttours.com_1716","","Bat Ami 3","il","","","ami bat suite"
"Ibiza Royal Apartments","<https://www.booking.com/hotel/es/ibiza-royal-apartments.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/ibiza/gayguide/cafe-ole.html>","www.nighttours.com","www.nighttours.com_1717","","Avinguda Pere Matutes Noguera 87-91, apartamento 408","es","","apartments","royal ibiza"
"Cana Maria","<https://www.booking.com/hotel/es/cana-maria.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/ibiza/gayguide/cafe-ole.html>","www.nighttours.com","www.nighttours.com_1718","","Carrer Montblanc, 61 ","es","","","cana maria"
"Enkala Apartamentos","<https://www.booking.com/hotel/es/apartamentos-bellavista-ibiza-town.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/ibiza/gayguide/cafe-ole.html>","www.nighttours.com","www.nighttours.com_1719","","Carlos Roman Ferrer 35","es","","","enkala apartamentos"
"INSIDE FIVE - City Apartments","<https://www.booking.com/hotel/ch/inside-five-city-apartments.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/zurich/gayguide/heldenbar.html>","www.nighttours.com","www.nighttours.com_172","","Motorenstrasse 11","ch","","apartments city","five inside"
