"URI","City","City population","Country","lat","long"
"WebTables_120","Pingdingshan","1,230,000","China","",""
"WebTables_121","Pingdu","1,340,000","China","",""
"WebTables_122","Pittsburgh","335,000","USA","",""
"WebTables_123","Pointe Noire","527,000","Congo Br","",""
"WebTables_124","Port Elizabeth","833,000","South Africa","",""
"WebTables_125","Port Harcourt","2,667,000","Nigeria","",""
"WebTables_126","PORT-AU-PRINCE","1,083,000","Haiti","",""
"WebTables_127","Portland","542,000","USA","",""
"WebTables_128","Porto","263,000","Portugal","",""
"WebTables_129","Porto Alegre","1,355,000","Brazil","",""
"WebTables_130","PRAGUE","1,242,000","Czech Republic","",""
"WebTables_131","Puebla","1,888,000","Mexico","",""
"WebTables_132","Pune","3,337,000","India","",""
"WebTables_133","PYONGYANG","3,255,000","North Korea","",""
"WebTables_134","Qianjiang","1,190,000","China","",""
"WebTables_135","Qidong","1,160,000","China","",""
"WebTables_136","Qingdao","2,755,000","China","",""
"WebTables_137","Qiqihaer","1,439,000","China","",""
"WebTables_138","Qom","1,042,000","Iran","",""
"WebTables_139","Quanzhou","1,490,000","China","",""
"WebTables_140","Québec","495,000","Canada","",""
"WebTables_141","Quezon City","2,680,000","Philippines","",""
"WebTables_142","QUITO","1,648,000","Ecuador","",""
"WebTables_143","RABAT","627,000","Morocco","",""
"WebTables_144","Rajkot","1,336,000","India","",""
"WebTables_145","Raleigh","393,000","USA","",""
"WebTables_146","Ranchi","1,290,000","India","",""
"WebTables_147","Rawalpindi","1,558,000","Pakistan","",""
"WebTables_148","Recife","1,561,000","Brazil","",""
"WebTables_149","Rennes","206,000","France","",""
"WebTables_150","Ribeirao Preto","547,000","Brazil","",""
"WebTables_151","Richmond","200,000","USA","",""
"WebTables_152","RIGA","725,000","Latvia","",""
"WebTables_153","Rio de Janeiro","6,093,000","Brazil","",""
"WebTables_154","RIYADH","4,950,000","Saudi Arabia","",""
"WebTables_155","Rizhao","1,290,000","China","",""
"WebTables_156","Rochester","220,000","USA","",""
"WebTables_157","ROME","2,732,000","Italy","",""
"WebTables_158","Rosario","1,160,000","Argentina","",""
"WebTables_159","Rostock","201,000","Germany","",""
"WebTables_160","Rostov on Don","1,068,000","Russia","",""
"WebTables_161","Rotterdam","590,000","Netherlands","",""
"WebTables_162","Rugao","1,453,000","China","",""
"WebTables_163","Ruian","1,250,000","China","",""
"WebTables_164","Guayaquil","2,196,000","Ecuador","",""
"WebTables_165","QUITO","1,648,000","Ecuador","",""
"WebTables_166","CAIRO","7,764,000","Egypt","",""
"WebTables_167","Alexandria","4,110,000","Egypt","",""
"WebTables_168","Giza","2,225,000","Egypt","",""
"WebTables_169","Subra al-Haymah","998,000","Egypt","",""
"WebTables_170","SAN SALVADOR","520,000","El Salvador","",""
"WebTables_171","ASMARA","392,000","Eritrea","",""
"WebTables_172","TALLINN","407,000","Estonia","",""
"WebTables_173","ADDIS ABABA","3,385,000","Ethiopia","",""
"WebTables_174","HELSINKI","583,000","Finland","",""
"WebTables_175","PARIS","2,113,000","France","",""
"WebTables_176","Marseille","852,000","France","",""
"WebTables_177","Lyon","472,000","France","",""
"WebTables_178","Toulouse","438,000","France","",""
"WebTables_179","Nice","347,000","France","",""
"WebTables_180","Nantes","283,000","France","",""
"WebTables_181","Strasbourg","273,000","France","",""
"WebTables_182","Montpellier","252,000","France","",""
"WebTables_183","Bordeaux","250,000","France","",""
"WebTables_184","Lille","226,000","France","",""
"WebTables_185","Rennes","206,000","France","",""
"WebTables_186","TBILISI","1,490,000","Georgia","",""
"WebTables_187","BERLIN","3,432,000","Germany","",""
"WebTables_188","Hamburg","1,775,000","Germany","",""
"WebTables_189","Munich","1,367,000","Germany","",""
"WebTables_190","Cologne","995,000","Germany","",""
"WebTables_191","Frankfurt","665,000","Germany","",""
"WebTables_192","Stuttgart","600,000","Germany","",""
"WebTables_193","Dortmund","584,000","Germany","",""
"WebTables_194","Essen","580,000","Germany","",""
"WebTables_195","Bremen","547,000","Germany","",""
"WebTables_196","Hannover","520,000","Germany","",""
"WebTables_197","Leipzig","515,000","Germany","",""
"WebTables_198","Dresden","512,000","Germany","",""
"WebTables_199","Nuremberg","504,000","Germany","",""
"WebTables_200","Duisburg","494,000","Germany","",""
"WebTables_201","Wuppertal","353,000","Germany","",""
"WebTables_202","Bielefeld","324,000","Germany","",""
"WebTables_203","Mannheim","311,000","Germany","",""
"WebTables_204","Karlsruhe","291,000","Germany","",""
"WebTables_205","Wiesbaden","277,000","Germany","",""
"WebTables_206","Münster","274,000","Germany","",""
"WebTables_207","Augsburg","263,000","Germany","",""
"WebTables_208","Gelsenkirchen","262,000","Germany","",""
"WebTables_209","Aachen","259,000","Germany","",""
"WebTables_210","Braunschweig","246,000","Germany","",""
"WebTables_211","Chemnitz","243,000","Germany","",""
"WebTables_212","Krefeld","236,000","Germany","",""
"WebTables_213","Halle","233,000","Germany","",""
"WebTables_214","Magdeburg","230,000","Germany","",""
"WebTables_215","Freiburg","220,000","Germany","",""
"WebTables_216","Oberhausen","216,000","Germany","",""
"WebTables_217","Lübeck","211,000","Germany","",""
"WebTables_218","Erfurt","203,000","Germany","",""
"WebTables_219","Rostock","201,000","Germany","",""
"WebTables_220","ACCRA","1,605,000","Ghana","",""
"WebTables_221","Kumasi","1,500,000","Ghana","",""
"WebTables_222","ATHENS","757,000","Greece","",""
"WebTables_223","Thessaloniki","407,000","Greece","",""
